Video;Editor;Scenestart (HH:MM:SS);Sceneend (HH:MM:SS);Eventtype;Additional Information;Unnamed: 6
9_Video_16;20;00:03:40;00:03:44;teleport;location change;
9_Video_16;20;00:03:40;00:03:42;loadingscreen;load, new, area;
9_Video_16;20;00:03:42;00:05:00;locationstay;outdoor, sea;
9_Video_16;20;00:03:42;00:03:48;mainmenu;menu, places;
9_Video_16;20;00:03:42;00:05:00;mainmenu;minimap;
9_Video_16;20;00:03:44;00:03:53;interaction;stay;
9_Video_16;20;00:03:53;00:04:44;interaction;walk;
9_Video_16;20;00:04:44;00:04:46;interaction;upstairs;
9_Video_16;20;00:04:46;00:04:52;interaction;walk;
9_Video_16;20;00:04:51;00:04:56;mainmenu;object, focus, click, sitdown;
9_Video_16;20;00:04:56;00:05:00;interaction;sit;
9_Video_17;20;00:00:00;00:00:27;locationstay;outdoor, city, street;
9_Video_17;20;00:00:00;00:00:04;interaction;stay;
9_Video_17;20;00:00:04;00:00:10;interaction;walk;
9_Video_17;20;00:00:10;00:00:27;interaction;stay;
9_Video_17;20;00:00:15;00:00:27;mainmenu;menu, places;
9_Video_17;20;00:00:27;00:00:33;teleport;location change;
9_Video_17;20;00:00:27;00:00:30;loadingscreen;load, new, area;
9_Video_17;20;00:00:30;00:03:18;locationstay;outdoor;
9_Video_17;20;00:00:30;00:00:36;mainmenu;menu, places;
9_Video_17;20;00:00:30;00:03:18;mainmenu;minimap;
9_Video_17;20;00:00:33;00:00:45;interaction;stay;
9_Video_17;20;00:00:45;00:00:52;interaction;walk;
9_Video_17;20;00:00:52;00:01:07;interaction;stay;
9_Video_17;20;00:00:55;01:00:04;dialog;speak;
9_Video_17;20;00:01:07;00:01:13;interaction;walk;
9_Video_17;20;00:01:13;00:01:26;interaction;stay;
9_Video_17;20;00:01:15;00:01:23;dialog;speak;
9_Video_17;20;00:01:26;00:02:44;interaction;walk;
9_Video_17;20;00:02:44;00:02:59;interaction;stay;
9_Video_17;20;00:02:47;00:03:06;mainmenu;menu, change, animation;
9_Video_17;20;00:02:59;00:03:02;interaction;wave;
9_Video_17;20;00:03:02;00:03:18;interaction;stay;
9_Video_17;20;00:03:18;00:03:25;teleport;location change;
9_Video_17;20;00:03:18;00:03:21;loadingscreen;load, new, area;
9_Video_17;20;00:03:25;00:04:27;locationstay;outdoor, garden, grass ;
9_Video_17;20;00:03:25;00:03:38;interaction;stay;
9_Video_17;20;00:03:38;00:04:43;interaction;walk;
9_Video_17;20;00:04:27;00:05:00;locationstay;club;
9_Video_17;20;00:04:43;00:04:48;interaction;stay, look around;
9_Video_17;20;00:04:48;00:05:00;interaction;walk;
9_Video_18;20;00:00:00;00:38:00;locationstay;outdoor;
9_Video_18;20;00:00:00;00:00:06;interaction;stay;
9_Video_18;20;00:00:00;00:38:00;mainmenu;minimap;
9_Video_18;20;00:00:06;00:00:15;interaction;run;
9_Video_18;20;00:00:19;00:38:00;mainmenu;menu, places;
9_Video_18;20;00:38:00;00:00:43;teleport;location change;
9_Video_18;20;00:38:00;00:00:41;loadingscreen;load, new, area;
9_Video_18;20;00:00:43;00:05:00;locationstay;temple;
9_Video_18;20;00:00:43;00:01:04;interaction;stay, look around;
9_Video_18;20;00:00:41;00:00:44;mainmenu;minimap;
9_Video_18;20;00:01:04;00:01:09;interaction;walk;
9_Video_18;20;00:01:09;00:01:13;interaction;turn around;
9_Video_18;20;00:01:13;00:01:16;interaction;walk;
9_Video_18;20;00:01:16;00:01:17;interaction;upstairs;
9_Video_18;20;00:01:17;00:01:32;interaction;stay;
9_Video_18;20;00:01:21;00:01:45;mainmenu;menu, animation;
9_Video_18;20;00:01:32;00:01:36;interaction;wave;
9_Video_18;20;00:01:38;00:01:43;mainmenu;menu, profil;
9_Video_18;20;00:01:36;00:01:49;interaction;stay;
9_Video_18;20;00:01:49;00:01:51;interaction;downstairs;
9_Video_18;20;00:01:51;00:01:54;interaction;walk;
9_Video_18;20;00:01:54;00:01:56;interaction;fall down;
9_Video_18;20;00:01:56;00:02:54;interaction;walk;
9_Video_18;20;00:02:54;00:03:03;interaction;turn around;
9_Video_18;20;00:03:03;00:03:35;interaction;walk;
9_Video_18;20;00:03:35;00:03:36;interaction;upstairs;
9_Video_18;20;00:03:36;00:03:48;interaction;walk;
9_Video_18;20;00:03:48;00:05:00;interaction;stay;
9_Video_19;20;00:00:00;00:01:55;locationstay;outdoor;
9_Video_19;20;00:00:00;00:00:03;interaction;stay;
9_Video_19;20;00:00:03;00:00:12;interaction;walk;
9_Video_19;20;00:00:12;00:00:17;interaction;stay;
9_Video_19;20;00:00:17;00:00:41;interaction;walk;
9_Video_19;20;00:00:41;00:01:12;interaction;stay;
9_Video_19;20;00:00:52;00:01:06;dialog;speak;
9_Video_19;20;00:01:12;00:01:25;interaction;walk;
9_Video_19;20;00:01:25;00:01:55;interaction;stay;
9_Video_19;20;00:01:34;00:01:55;mainmenu;menu, places, search;
9_Video_19;20;00:01:55;00:01:59;teleport;location change;
9_Video_19;20;00:01:55;00:01:57;loadingscreen;load, new, area;
9_Video_19;20;00:01:57;00:05:00;locationstay;outdoor, city, street;
9_Video_19;20;00:01:57;00:05:00;mainmenu;menu, places ;
9_Video_19;20;00:01:59;00:02:11;interaction;stay;
9_Video_19;20;00:02:11;00:03:42;interaction;walk;
9_Video_19;20;00:03:42;00:03:49;interaction;stay, look around;
9_Video_19;20;00:03:49;00:05:00;interaction;walk;
9_Video_20;20;00:00:00;00:01:52;locationstay;outdoor;
9_Video_20;20;00:00:00;00:00:36;interaction;stay;
9_Video_20;20;00:00:00;00:01:52;mainmenu;minimap;
9_Video_20;20;00:00:05;00:01:37;mainmenu;menu, animation;
9_Video_20;20;00:00:36;00:00:41;interaction;wave;
9_Video_20;20;00:00:41;00:00:45;interaction;stay;
9_Video_20;20;00:00:45;00:00:55;interaction;walk;
9_Video_20;20;00:00:55;00:01:16;interaction;stay;
9_Video_20;20;00:00:59;00:01:10;dialog;speak;
9_Video_20;20;00:01:16;00:01:19;interaction;walk;
9_Video_20;20;00:01:19;00:01:23;interaction;upstairs;
9_Video_20;20;00:01:23;00:01:28;interaction;walk;
9_Video_20;20;00:01:28;00:01:52;interaction;stay;
9_Video_20;20;00:01:41;00:01:52;mainmenu;menu, places;
9_Video_20;20;00:01:52;00:01:56;teleport;location change;
9_Video_20;20;00:01:52;00:01:55;loadingscreen;load, new, area;
9_Video_20;20;00:01:55;00:02:11;locationstay;outdoor, city, street;
9_Video_20;20;00:01:55;00:04:58;mainmenu;minimap;
9_Video_20;20;00:01:55;00:02:04;mainmenu;menu, places;
9_Video_20;20;00:01:56;00:02:05;interaction;stay;
9_Video_20;20;00:02:05;00:02:29;interaction;walk;
9_Video_20;20;00:02:11;00:03:02;locationstay;indoor, club;
9_Video_20;20;00:02:29;00:02:49;interaction;stay;
9_Video_20;20;00:02:49;00:03:56;interaction;walk;
9_Video_20;20;00:03:02;00:03:57;locationstay;outdoor, city, street;
9_Video_20;20;00:03:56;00:03:57;interaction;open door;
9_Video_20;20;00:03:57;00:04:03;interaction;walk;
9_Video_20;20;00:03:57;00:04:58;locationstay;indoor;
9_Video_20;20;00:04:03;00:04:08;interaction;stay;
9_Video_20;20;00:04:08;00:04:11;interaction;walk;
9_Video_20;20;00:04:11;00:04:58;interaction;stay;
9_Video_20;20;00:04:13;00:04:19;mainmenu;object, focus, click;
9_Video_20;20;00:04:32;00:04:38;dialog;speak;
9_Video_20;20;00:04:55;00:04:58;mainmenu;menu, places;
9_Video_20;20;00:04:58;00:04:59;teleport;location change;
9_Video_20;20;00:04:58;00:04:59;loadingscreen;load, new, area;
9_Video_20;20;00:04:59;00:05:00;locationstay;outdoor, city, street;
