Video;Metaverse name;Editor;Timestamp start;Timestamp End;Action;Relevant Objects;Description
3_Video_20;VR-Chat;3;00:45:00;00:47:00;A5;Aufnehmender User, anderer User;Wir reden mit dem anderen User
3_Video_20;VR-Chat;3;00:48:00;01:09:00;A1;Aufnehmender User;Wir laufen raus in den Garten 
3_Video_20;VR-Chat;3;00:59:00;01:01:00;A3;Aufnehmender User;Wir verlassen das Gebäude
3_Video_20;VR-Chat;3;00:50:00;00:50:00;A9;Aufnehmender User;Wir bleiben kurz stehen 
3_Video_20;VR-Chat;3;00:51:00;00:51:00;A8;Aufnehmender User;Wir wechseln die Richtung
3_Video_20;VR-Chat;3;00:53:00;00:54:00;A9;Aufnehmender user;Wir bleiben kurz stehen 
3_Video_20;VR-Chat;3;00:56:00;00:58:00;A9;Aufnehmender User;Wir bleiben kurz stehen 
3_Video_20;VR-Chat;3;00:54:00;00:54:00;A8;aufnehmender User;WIr wechseln die Richtung
3_Video_20;VR-Chat;3;01:13:00;01:15:00;A4;Anderer User;User winkt uns zu
3_Video_20;VR-Chat;3;01:19:00;01:21:00;A4;Anderer User;User winkt uns zu
3_Video_20;VR-Chat;3;01:23:00;01:24:00;A4;Anderer User;User klatscht
3_Video_20;VR-Chat;3;00:59:00;01:01:00;A5;Gruppe anderer User;User redet mit der Gruppe
